nombre_estandarizado,alternativa_1,alternativa_2,alternativa_3,alternativa_4,alternativa_5
RODRIGO BORJA,BORJA CEVALLOS RODRIGO,RODRIGO BORJA,,,
JACINTO VELAZQUEZ,VELAZQUEZ HERRERA JACINTO,JACINTO VELAZQUEZ,,,
ANTONIO VARGAS,VARGAS GUATATUCA CARLOS ANTONIO,ANTONIO VARGAS,,,
OSVALDO HURTADO,HURTADO LARREA  OSVALDO,OSVALDO HURTADO,,,
ALVARO NOBOA,NOBOA PONTON ALVARO FERNANDO,NOBOA ALVARO,NOBOA PONTON ALVARO FERNANDO,NOBOA  ALVARO,
XAVIER NEIRA,NEIRA MENENDEZ ANTONIO XAVIER,XAVIER NEIRA,,,
CESAR ALARCON,ALARCON COSTTA  CESAR AUGUSTO,CESAR ALARCON,,,
IVONNE BAKI,JUEZ ABUCHAKRA IVONNE LEYLA,IVONNE BAKI,,,
JACOBO BUCARAM,BUCARAM ORTIZ JACOBO,JACOBO BUCARAM,,,
LUCIO GUTIERREZ,GUTIERREZ BORBUA LUCIO EDWIN,GUTIERREZ BORBUA LUCIO EDWIN,GUTIERREZ  LUCIO,GUTIERREZ BORBUA LUCIO EDWIN,LUCIO GUTIERREZ
GUILMAR GUTIERREZ,GUTIERREZ GILMAR,GUILMAR GUTIERREZ,,,
JAIME DEMERVAL,DAMERVAL  JAIME,DAMERVAL MARTINEZ JAIME FRANCISCO,JAIME DEMERVAL,,
FERNANDO ROSERO,ROSERO  FERNANDO,ROSERO GONZALEZ JOSE FERNANDO,FERNANDO ROSERO,,
LEON ROLDOS,ROLDOS AGUILERA LEON,ROLDOS AGUILERA LEON,LEON ROLDOS,,
LUIS VILLACIS,VILLACIS LUIS,VILLACIS MALDONADO LUIS ALFREDO,LUIS VILLACIS,,
LUIS MACAS,MACAS  LUIS,MACAS AMBULUDI LUIS ALBERTO,LUIS MACAS,,
LENIN TORRES,TORRES LENIN,LENIN GALO ARTURO TORRES PASTOR,LENIN TORRES,,
MARCO PROANO,PROANO MAYA MARCO,PROAÑO MAYA MARCO,MARCO PROANO,,
RAFAEL CORREA,CORREA DELGADO RAFAEL,RAFAEL CORREA,CORREA DELGADO RAFAEL,CORREA DELGADO RAFAEL VICENTE,CORREA DELGADO RAFAEL
MARCELO LARREA,LARREA CABRERA MARCELO,MARCELO LARREA,,,
MARTHA ROLDOS,ROLDOS BUCARAM MARTHA RINA VICTORIA,MARTHA ROLDOS,,,
MELBA JACOME,JACOME MARIN MELBA YOLANDA,MELBA JACOME,,,
CARLOS GONZALEZ,GONZALEZ ALBORNOZ CARLOS BENJAMIN,CARLOS GONZALEZ,,,
DIEGO DELGADO JARA,DELGADO JARA DIEGO CRISTOBAL,DIEGO DELGADO JARA,,,
NELSON ZAVALA,ZAVALA  NELSON,NELSON ZAVALA,,,
ALBERTO ACOSTA,ACOSTA  ALBERTO,ACOSTA  ALBERTO,,,
NORMAN WRAY,WRAY  NORMAN,NORMAN WRAY,,,
MAURICIO RODAS,RODAS ESPINEL MAURICIO ESTEBAN,MAURICIO RODAS,,,
PACO MONCAYO,MONCAYO GALLEGOS PACO ROSENDO,MONCAYO GALLEGOS PACO ROSENDO,,,
CYNTHIA VITERI,VITERI JIMENEZ CYNTHIA FERNANDA,VITERI  CYNTHIA,VITERI JIMENEZ CYNTHIA FERNANDA,,
LENIN MORENO,MORENO GARCES LENIN BOLTAIRE,MORENO GARCES LENIN BOLTAIRE,,,
WASHINGTON PESANTEZ,PESANTEZ MUNOZ WASHINGTON ARTURO,PESANTEZ MUÑOZ WASHINGTON ARTURO,,,
IVAN ESPINEL,ESPINEL MOLINA JOSE IVAN,ESPINEL MOLINA JOSE IVAN,,,
JAIME BUCARAM,BUCARAM PULLEY ABDALA JAIME,BUCARAM PULLEY ABDALA JAIME,,,
PATRICIO ZUQUILANDA,ZUQUILANDA DUQUE JOSE PATRICIO,ZUQUILANDA DUQUE JOSE PATRICIO,,,
PAUL CARRASCO,CARRASCO CARPIO PAUL ERNESTO,PAUL ERNESTO CARRASCO,,,
GIOVANNY ANDRADE,ANDRADE SALVADOR GIOVANNY MARCELO,GIOVANNY ANDRADE SALVADOR,,,
CARLOS SAGNAY,SAGNAY DE LA BASTIDA CARLOS FRANCISCO,SAGNAY DE LA BASTIDA CARLOS FRANCISCO,SAGNAY DE LA BASTIDA CARLOS,CARLOS SAGNAY DE LA BASTIDA,
GUSTAVO LARREA,LARREA CABRERA WILSON GUSTAVO,GUSTAVO LARREA CABRERA,,,
CESAR MONTUFAR,MONTUFAR MANCHENO CESAR,CESAR MONTUFAR,,,
JUAN FERNANDO VELASCO,VELASCO TORRES JUAN FERNANDO,JUAN FERNANDO VELASCO TORRES,,,
GUILLERMO CELI,CELI SANTOS GUILLERMO ALEJANDRO,GUILLERMO CELI,,,
