PROVINCIA_CODIGO,PROVINCIA_CODIGO_OLD,PROVINCIA_NOMBRE
EC00,0,ECUADOR
EC01,1,AZUAY
EC02,2,BOLIVAR
EC03,3,CANAR
EC04,4,CARCHI
EC05,5,COTOPAXI
EC06,6,CHIMBORAZO
EC07,7,EL ORO
EC08,8,ESMERALDAS
EC09,9,GUAYAS
EC10,10,IMBABURA
EC11,11,LOJA
EC12,12,LOS RIOS
EC13,13,MANABI
EC14,14,MORONA SANTIAGO
EC15,15,NAPO
EC16,16,PASTAZA
EC17,17,PICHINCHA
EC18,18,TUNGURAHUA
EC19,19,ZAMORA CHINCHIPE
EC20,20,GALAPAGOS
EC21,21,SUCUMBIOS
EC22,22,ORELLANA
EC23,23,STO DGO TSACHILAS
EC24,24,SANTA ELENA
EC25,25,VOTO EXTERIOR
EC26,26,"EUROPA, ASIA, OCEANIA"
EC27,27,NORTE-AMERICA
EC28,28,"LATAM, CARIBE, AFRICA"
