,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
5,TULCAN,TULCAN,TULCAN,TULCAN,TULCAN,TULCAN,TULCAN,TULCAN,TULCAN,TULCAN,TULCAN,TULCAN
10,MONTUFAR,MONTUFAR,MONTUFAR,MONTUFAR,MONTUFAR,MONTUFAR,MONTUFAR,MONTUFAR,MONTUFAR,MONTUFAR,MONTUFAR,MONTUFAR
11,,,ALEMANIA,ALEMANIA,ALEMANIA,ALEMANIA,ALEMANIA,ALEMANIA,ALEMANIA,ALEMANIA,ALEMANIA,ALEMANIA
15,ESPEJO,ESPEJO,ESPEJO,ESPEJO,ESPEJO,ESPEJO,ESPEJO,ESPEJO,ESPEJO,ESPEJO,ESPEJO,ESPEJO
20,MIRA,MIRA,MIRA,MIRA,MIRA,MIRA,MIRA,MIRA,MIRA,MIRA,MIRA,MIRA
21,,,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA
25,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR,BOLIVAR
30,IBARRA,IBARRA,IBARRA,IBARRA,IBARRA,IBARRA,IBARRA,IBARRA,IBARRA,IBARRA,IBARRA,IBARRA
31,,,AUSTRALIA,,AUSTRALIA,AUSTRALIA,AUSTRALIA,AUSTRALIA,AUSTRALIA,AUSTRALIA,AUSTRALIA,AUSTRALIA
35,OTAVALO,OTAVALO,OTAVALO,OTAVALO,OTAVALO,OTAVALO,OTAVALO,OTAVALO,OTAVALO,OTAVALO,OTAVALO,OTAVALO
40,COTACACHI,COTACACHI,COTACACHI,COTACACHI,COTACACHI,COTACACHI,COTACACHI,COTACACHI,COTACACHI,COTACACHI,COTACACHI,COTACACHI
41,,,AUSTRIA,AUSTRIA,AUSTRIA,AUSTRIA,AUSTRIA,AUSTRIA,AUSTRIA,AUSTRIA,AUSTRIA,AUSTRIA
45,ANTONIO ANTE,ANTONIO ANTE,ANTONIO ANTE,ANTONIO ANTE,ANTONIO ANTE,ANTONIO ANTE,ANTONIO ANTE,ANTONIO ANTE,ANTONIO ANTE,ANTONIO ANTE,ANTONIO ANTE,ANTONIO ANTE
50,PIMAMPIRO,PIMAMPIRO,PIMAMPIRO,PIMAMPIRO,PIMAMPIRO,PIMAMPIRO,PIMAMPIRO,PIMAMPIRO,PIMAMPIRO,PIMAMPIRO,PIMAMPIRO,PIMAMPIRO
51,,,BELGICA,BELGICA,BELGICA,BELGICA,BELGICA,BELGICA,BELGICA,BELGICA,BELGICA,BELGICA
55,URCUQUI,URCUQUI,URCUQUI,URCUQUI,URCUQUI,URCUQUI,URCUQUI,URCUQUI,URCUQUI,URCUQUI,URCUQUI,URCUQUI
60,QUITO,QUITO,QUITO,QUITO,QUITO,QUITO,QUITO,QUITO,QUITO,QUITO,QUITO,QUITO
61,,,BOLIVIA,BOLIVIA,BOLIVIA,BOLIVIA,BOLIVIA,BOLIVIA,BOLIVIA,BOLIVIA,BOLIVIA,BOLIVIA
65,CAYAMBE,CAYAMBE,CAYAMBE,CAYAMBE,CAYAMBE,CAYAMBE,CAYAMBE,CAYAMBE,CAYAMBE,CAYAMBE,CAYAMBE,CAYAMBE
70,MEJIA,MEJIA,MEJIA,MEJIA,MEJIA,MEJIA,MEJIA,MEJIA,MEJIA,MEJIA,MEJIA,MEJIA
71,,,BRASIL,BRASIL,BRASIL,BRASIL,BRASIL,BRASIL,BRASIL,BRASIL,BRASIL,BRASIL
75,PEDRO MONCAYO,PEDRO MONCAYO,PEDRO MONCAYO,PEDRO MONCAYO,PEDRO MONCAYO,PEDRO MONCAYO,PEDRO MONCAYO,PEDRO MONCAYO,PEDRO MONCAYO,PEDRO MONCAYO,PEDRO MONCAYO,PEDRO MONCAYO
80,RUMINAHUI,RUMINAHUI,RUMINAHUI,RUMINAHUI,RUMINAHUI,RUMINAHUI,RUMINAHUI,RUMINAHUI,RUMINAHUI,RUMINAHUI,RUMINAHUI,RUMINAHUI
81,,,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA,CANADA
85,SANTO DOMINGO,SANTO DOMINGO,STO. DGO. DE LOS CLDS,STO. DGO. DE LOS CLDS,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO,SANTO DOMINGO
90,TISALEO,TISALEO,TISALEO,TISALEO,TISALEO,TISALEO,TISALEO,TISALEO,TISALEO,TISALEO,TISALEO,TISALEO
91,,,COLOMBIA,COLOMBIA,COLOMBIA,COLOMBIA,COLOMBIA,COLOMBIA,COLOMBIA,COLOMBIA,COLOMBIA,COLOMBIA
95,BALAO,BALAO,BALAO,BALAO,BALAO,BALAO,BALAO,BALAO,BALAO,BALAO,BALAO,BALAO
100,LATACUNGA,LATACUNGA,LATACUNGA,LATACUNGA,LATACUNGA,LATACUNGA,LATACUNGA,LATACUNGA,LATACUNGA,LATACUNGA,LATACUNGA,LATACUNGA
101,,,COREA (SUR) REPUBLICA DE,,COREA (SUR) REPUBLICA DE,COREA (SUR) REPUBLICA DE,COREA (SUR) REPUBLICA DE,COREA (SUR) REPUBLICA DE,COREA (SUR) REPUBLICA DE,COREA (SUR) REPUBLICA DE,COREA (SUR) REPUBLICA DE,COREA (SUR) REPUBLICA DE
105,PUJILI,PUJILI,PUJILI,PUJILI,PUJILI,PUJILI,PUJILI,PUJILI,PUJILI,PUJILI,PUJILI,PUJILI
110,SALCEDO,SALCEDO,SALCEDO,SALCEDO,SALCEDO,SALCEDO,SALCEDO,SALCEDO,SALCEDO,SALCEDO,SALCEDO,SALCEDO
111,,,COSTA RICA,COSTA RICA,COSTA RICA,COSTA RICA,COSTA RICA,COSTA RICA,COSTA RICA,COSTA RICA,COSTA RICA,COSTA RICA
115,SAQUISILI,SAQUISILI,SAQUISILI,SAQUISILI,SAQUISILI,SAQUISILI,SAQUISILI,SAQUISILI,SAQUISILI,SAQUISILI,SAQUISILI,SAQUISILI
120,PANGUA,PANGUA,PANGUA,PANGUA,PANGUA,PANGUA,PANGUA,PANGUA,PANGUA,PANGUA,PANGUA,PANGUA
121,,,CUBA,CUBA,CUBA,CUBA,CUBA,CUBA,CUBA,CUBA,CUBA,CUBA
125,COLIMES,COLIMES,COLIMES,COLIMES,COLIMES,COLIMES,COLIMES,COLIMES,COLIMES,COLIMES,COLIMES,COLIMES
130,NANGARITZA,NANGARITZA,NANGARITZA,NANGARITZA,NANGARITZA,NANGARITZA,NANGARITZA,NANGARITZA,NANGARITZA,NANGARITZA,NANGARITZA,NANGARITZA
131,,,CHILE,CHILE,CHILE,CHILE,CHILE,CHILE,CHILE,CHILE,CHILE,CHILE
135,AMBATO,AMBATO,AMBATO,AMBATO,AMBATO,AMBATO,AMBATO,AMBATO,AMBATO,AMBATO,AMBATO,AMBATO
140,PELILEO,PELILEO,PELILEO,PELILEO,PELILEO,PELILEO,PELILEO,PELILEO,PELILEO,PELILEO,PELILEO,PELILEO
141,,,CHINA,,CHINA,CHINA,CHINA,CHINA,CHINA,CHINA,CHINA,CHINA
145,PILLARO,PILLARO,PILLARO,PILLARO,PILLARO,PILLARO,PILLARO,PILLARO,PILLARO,PILLARO,PILLARO,PILLARO
150,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS,BANOS
155,PATATE,PATATE,PATATE,PATATE,PATATE,PATATE,PATATE,PATATE,PATATE,PATATE,PATATE,PATATE
160,QUERO,QUERO,QUERO,QUERO,QUERO,QUERO,QUERO,QUERO,QUERO,QUERO,QUERO,QUERO
