,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
10 DE AGOSTO,1025.0,1030.0,1030.0,1030.0,1030.0,4625.0,4625.0,4625.0,4625.0,4625.0,4625.0,4625.0
10 DE NOVIEMBRE,,,,,,,,7480.0,,,,
10 NOVIEMBRE,,,,,,7480.0,7480.0,,,7480.0,7480.0,7480.0
11 DE NOVIEMBRE,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0,2620.0
11 DE OCTUBRE,6860.0,6860.0,6860.0,6860.0,6860.0,6860.0,6860.0,,,,,
12 DE DICIEMBRE,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0,1035.0
12 DE MARZO,5280.0,5280.0,5280.0,5280.0,5280.0,5280.0,5280.0,5280.0,5280.0,5280.0,5280.0,5280.0
16 DE AGOSTO,1685.0,1685.0,1685.0,1685.0,1685.0,1685.0,1685.0,1685.0,1685.0,1685.0,1685.0,1685.0
18 DE OCTUBRE,6770.0,6770.0,6770.0,6770.0,6770.0,6770.0,6770.0,6770.0,6770.0,6770.0,6770.0,6770.0
24 DE MAYO,6690.0,6690.0,6690.0,6690.0,6690.0,6690.0,6690.0,6690.0,6690.0,6690.0,6690.0,6690.0
27 DE ABRIL /LA NARANJA,,,4460.0,4460.0,4460.0,4460.0,4460.0,4460.0,4460.0,4460.0,4460.0,4460.0
27 DE ABRIL/LA NAR,4460.0,4460.0,,,,,,,,,,
27 DE SEPTIEMBRE,6250.0,6250.0,6250.0,6250.0,6250.0,6250.0,6250.0,6250.0,6250.0,6250.0,6250.0,6250.0
28 DE MAYO,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0,6215.0
4 DE DICIEMBRE,6195.0,6195.0,6195.0,6195.0,6195.0,6195.0,6195.0,6195.0,6195.0,6195.0,6195.0,6195.0
43049,,,,,,,,,7480.0,,,
5 DE AGOSTO,5210.0,5210.0,5210.0,5210.0,5210.0,5210.0,5210.0,5210.0,5210.0,5210.0,5210.0,5210.0
5 DE JUNIO/HUIMBI,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0
6 DE JULIO CUELLAJ,3800.0,3800.0,,,,,,,,,,
6 DE JULIO DE CUELLAJE,,,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0
7 DE AGOSTO,6855.0,6855.0,6855.0,6855.0,6855.0,6855.0,6855.0,,,,,
9 DE MAYO,6490.0,6490.0,6490.0,6490.0,6490.0,6490.0,6490.0,6490.0,6490.0,6490.0,6490.0,6490.0
9 DE OCTUBRE,5695.0,5695.0,5695.0,5695.0,5695.0,5695.0,5695.0,5695.0,5695.0,5695.0,5695.0,5695.0
A.BAQUERIZO M /JUJAN,,,6545.0,6545.0,6545.0,6545.0,6545.0,6545.0,6545.0,6545.0,6545.0,6545.0
A.BAQUERIZO M/JUJA,6545.0,6545.0,,,,,,,,,,
ABANIN,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ABDON CALDERON,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ABDON CALDERON / LA UNION,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
ABDON CALDERON/LA,15.0,15.0,,,,,,,,,,
ABRAHAM CALAZACON,5730.0,5730.0,5730.0,5730.0,5730.0,5730.0,5730.0,5730.0,5730.0,5730.0,5730.0,5730.0
ACHUPALLAS,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
AGUAS NEGRAS,1555.0,1555.0,1555.0,1555.0,1555.0,1555.0,1555.0,1555.0,1555.0,1555.0,1555.0,1555.0
AHUANO,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
ALAMOR,5005.0,5005.0,5005.0,5005.0,5005.0,5005.0,5005.0,5005.0,5005.0,5005.0,5005.0,5005.0
ALANGASI,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
ALAQUEZ,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
ALAUSI,5010.0,5010.0,5010.0,5010.0,5010.0,5010.0,5010.0,5010.0,5010.0,5010.0,5010.0,5010.0
ALEJANDRO,,,1580.0,1580.0,1580.0,,,,,,,
ALEJANDRO LABACA,1580.0,1580.0,,,,,,,,,,
ALEJANDRO LABAKA,,,,,,1580.0,1995.0,1995.0,1995.0,1995.0,1995.0,1995.0
ALFARO,5015.0,5015.0,5015.0,5015.0,5015.0,,,,,,,
ALHAJUELA /BAJO GRANDE,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
ALHAJUELA/BAJO GRA,50.0,50.0,,,,,,,,,,
