,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
AMERICA LATINA,,,,28.0,,,,,,,,
AMERICA LATINA EL CARIBE Y AFRICA,,,,,28.0,28.0,28.0,,,,28.0,
"AMERICA LATINA, EL CARIBE Y AFRICA",,,,,,,,28.0,28.0,28.0,,
AZUAY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BOLIVAR,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CANADA Y ESTADOS UNIDOS,,,,,,,,,,,,27.0
CANAR,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CARCHI,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CHIMBORAZO,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
COTOPAXI,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ECUADOR,,,0.0,0.0,,,,,,,,
EE.UU CANADA,,,,,27.0,27.0,27.0,,,,27.0,
EE.UU Y CANADA,,,,,,,,27.0,27.0,27.0,,
EEUU Y CANADA,,,,27.0,,,,,,,,
EL ORO,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
ESMERALDAS,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
EUROPA,,,,26.0,,,,,,,,
EUROPA ASIA Y OCEANIA,,,,,26.0,26.0,26.0,,,,26.0,
"EUROPA, ASIA Y OCEANIA",,,,,,,,26.0,26.0,26.0,,
"EUROPA, OCEANIA Y ASIA",,,,,,,,,,,,26.0
GALAPAGOS,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
GUAYAS,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
IMBABURA,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
"LATINOAMERICA, EL CARIBE Y AFRICA",,,,,,,,,,,,28.0
LOJA,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
LOS RIOS,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
MANABI,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
MORONA SANTIAGO,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
NACION,,0.0,,,,,,,,,,
NAPO,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
ORELLANA,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
PASTAZA,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
PICHINCHA,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
SANTA ELENA,,,,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
STO DGO TSACHILAS,,,,,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
SUCUMBIOS,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
TUNGURAHUA,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
VOTO EXTERIOR,,,25.0,,,,,,,,,
ZAMORA CHINCHIPE,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
