PROVINCIA_CODIGO_OLD,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO_OLD,CANTON_NOMBRE,CANTON_CODIGO
1.0,EC01,AZUAY,260.0,CUENCA,EC0101
1.0,EC01,AZUAY,265.0,GUALACEO,EC0103
1.0,EC01,AZUAY,270.0,GIRON,EC0102
1.0,EC01,AZUAY,275.0,PAUTE,EC0105
1.0,EC01,AZUAY,280.0,SIGSIG,EC0109
1.0,EC01,AZUAY,285.0,SANTA ISABEL,EC0108
1.0,EC01,AZUAY,555.0,PUCARA,EC0106
1.0,EC01,AZUAY,556.0,CAMILO PONCE ENRIQUEZ,EC0115
1.0,EC01,AZUAY,780.0,ONA,EC0110
1.0,EC01,AZUAY,855.0,SAN FERNANDO,EC0107
1.0,EC01,AZUAY,885.0,NABON,EC0104
1.0,EC01,AZUAY,915.0,CHORDELEG,EC0111
1.0,EC01,AZUAY,955.0,SEVILLA DE ORO,EC0113
1.0,EC01,AZUAY,960.0,EL PAN,EC0112
1.0,EC01,AZUAY,990.0,GUACHAPALA,EC0114
2.0,EC02,BOLIVAR,165.0,GUARANDA,EC0201
2.0,EC02,BOLIVAR,170.0,CHIMBO,EC0203
2.0,EC02,BOLIVAR,175.0,SAN MIGUEL,EC0205
2.0,EC02,BOLIVAR,180.0,CHILLANES,EC0202
2.0,EC02,BOLIVAR,185.0,ECHEANDIA,EC0204
2.0,EC02,BOLIVAR,760.0,CALUMA,EC0206
2.0,EC02,BOLIVAR,950.0,LAS NAVES,EC0207
3.0,EC03,CANAR,235.0,AZOGUES,EC0301
3.0,EC03,CANAR,240.0,CANAR,EC0303
3.0,EC03,CANAR,241.0,SUSCAL,EC0307
3.0,EC03,CANAR,245.0,BIBLIAN,EC0302
3.0,EC03,CANAR,250.0,LA TRONCAL,EC0304
3.0,EC03,CANAR,765.0,EL TAMBO,EC0305
3.0,EC03,CANAR,905.0,DELEG,EC0306
4.0,EC04,CARCHI,10.0,MONTUFAR,EC0405
4.0,EC04,CARCHI,15.0,ESPEJO,EC0403
4.0,EC04,CARCHI,20.0,MIRA,EC0404
4.0,EC04,CARCHI,25.0,BOLIVAR,EC0402
4.0,EC04,CARCHI,5.0,TULCAN,EC0401
4.0,EC04,CARCHI,995.0,SAN PEDRO DE HUACA,EC0406
5.0,EC05,COTOPAXI,100.0,LATACUNGA,EC0501
5.0,EC05,COTOPAXI,105.0,PUJILI,EC0504
5.0,EC05,COTOPAXI,110.0,SALCEDO,EC0505
5.0,EC05,COTOPAXI,115.0,SAQUISILI,EC0506
5.0,EC05,COTOPAXI,120.0,PANGUA,EC0503
5.0,EC05,COTOPAXI,825.0,LA MANA,EC0502
5.0,EC05,COTOPAXI,930.0,SIGCHOS,EC0507
6.0,EC06,CHIMBORAZO,190.0,CHAMBO,EC0604
6.0,EC06,CHIMBORAZO,195.0,RIOBAMBA,EC0601
6.0,EC06,CHIMBORAZO,200.0,GUANO,EC0607
6.0,EC06,CHIMBORAZO,205.0,COLTA,EC0603
6.0,EC06,CHIMBORAZO,210.0,GUAMOTE,EC0606
6.0,EC06,CHIMBORAZO,215.0,ALAUSI,EC0602
6.0,EC06,CHIMBORAZO,220.0,CHUNCHI,EC0605
6.0,EC06,CHIMBORAZO,225.0,PENIPE,EC0609
6.0,EC06,CHIMBORAZO,830.0,PALLATANGA,EC0608
6.0,EC06,CHIMBORAZO,900.0,CUMANDA,EC0610
7.0,EC07,EL ORO,350.0,MACHALA,EC0701
7.0,EC07,EL ORO,355.0,SANTA ROSA,EC0712
7.0,EC07,EL ORO,360.0,ZARUMA,EC0713
7.0,EC07,EL ORO,365.0,PASAJE,EC0709
7.0,EC07,EL ORO,370.0,PINAS,EC0710
7.0,EC07,EL ORO,375.0,ARENILLAS,EC0702
7.0,EC07,EL ORO,380.0,EL GUABO,EC0706
7.0,EC07,EL ORO,585.0,CHILLA,EC0705
7.0,EC07,EL ORO,690.0,PORTOVELO,EC0711
7.0,EC07,EL ORO,695.0,HUAQUILLAS,EC0707
7.0,EC07,EL ORO,705.0,ATAHUALPA,EC0703
7.0,EC07,EL ORO,755.0,LAS LAJAS,EC0714
7.0,EC07,EL ORO,860.0,MARCABELI,EC0708
7.0,EC07,EL ORO,875.0,BALSAS,EC0704
8.0,EC08,ESMERALDAS,560.0,ESMERALDAS,EC0801
8.0,EC08,ESMERALDAS,561.0,RIOVERDE,EC0807
8.0,EC08,ESMERALDAS,565.0,ELOY ALFARO,EC0802
8.0,EC08,ESMERALDAS,570.0,MUISNE,EC0803
8.0,EC08,ESMERALDAS,575.0,QUININDE,EC0804
8.0,EC08,ESMERALDAS,580.0,SAN LORENZO,EC0805
8.0,EC08,ESMERALDAS,785.0,ATACAMES,EC0806
9.0,EC09,GUAYAS,125.0,COLIMES,EC0905
9.0,EC09,GUAYAS,385.0,EL EMPALME,EC0908
9.0,EC09,GUAYAS,390.0,GUAYAQUIL,EC0901
9.0,EC09,GUAYAS,395.0,SAN JACINTO DE YAGUACHI,EC0920
9.0,EC09,GUAYAS,400.0,DAULE,EC0906
9.0,EC09,GUAYAS,415.0,BALZAR,EC0904
9.0,EC09,GUAYAS,420.0,MILAGRO,EC0910
9.0,EC09,GUAYAS,425.0,SAMBORONDON,EC0916
9.0,EC09,GUAYAS,430.0,SALITRE,EC0919
9.0,EC09,GUAYAS,435.0,NARANJAL,EC0911
9.0,EC09,GUAYAS,505.0,EL TRIUNFO,EC0909
9.0,EC09,GUAYAS,510.0,NARANJITO,EC0912
9.0,EC09,GUAYAS,675.0,PALESTINA,EC0913
9.0,EC09,GUAYAS,715.0,PEDRO CARBO,EC0914
9.0,EC09,GUAYAS,735.0,PLAYAS,EC0921
9.0,EC09,GUAYAS,790.0,SIMON BOLIVAR,EC0922
9.0,EC09,GUAYAS,820.0,DURAN,EC0907
9.0,EC09,GUAYAS,835.0,ALFREDO BAQUERIZO MORENO (JUJAN),EC0902
9.0,EC09,GUAYAS,870.0,SANTA LUCIA,EC0918
9.0,EC09,GUAYAS,890.0,CORONEL MARCELINO MARIDUENA,EC0923
9.0,EC09,GUAYAS,920.0,LOMAS DE SARGENTILLO,EC0924
9.0,EC09,GUAYAS,940.0,NOBOL,EC0925
9.0,EC09,GUAYAS,95.0,BALAO,EC0903
9.0,EC09,GUAYAS,985.0,GENERAL ANTONIO ELIZALDE,EC0927
9.0,EC09,GUAYAS,986.0,ISIDRO AYORA,EC0928
10.0,EC10,IMBABURA,30.0,IBARRA,EC1001
10.0,EC10,IMBABURA,35.0,OTAVALO,EC1004
10.0,EC10,IMBABURA,40.0,COTACACHI,EC1003
10.0,EC10,IMBABURA,45.0,ANTONIO ANTE,EC1002
10.0,EC10,IMBABURA,50.0,PIMAMPIRO,EC1005
10.0,EC10,IMBABURA,55.0,SAN MIGUEL DE URCUQUI,EC1006
10.0,EC10,IMBABURA,998.0,ZONA ESPECIAL ELECTORAL LAS GOLONDRINAS,EC998
11.0,EC11,LOJA,290.0,CATAMAYO,EC1103
11.0,EC11,LOJA,295.0,ZAPOTILLO,EC1113
11.0,EC11,LOJA,300.0,LOJA,EC1101
11.0,EC11,LOJA,305.0,SARAGURO,EC1111
11.0,EC11,LOJA,310.0,PALTAS,EC1109
11.0,EC11,LOJA,311.0,OLMEDO,EC1116
11.0,EC11,LOJA,315.0,CELICA,EC1104
11.0,EC11,LOJA,320.0,CALVAS,EC1102
11.0,EC11,LOJA,325.0,MACARA,EC1108
11.0,EC11,LOJA,330.0,PUYANGO,EC1110
11.0,EC11,LOJA,335.0,GONZANAMA,EC1107
11.0,EC11,LOJA,340.0,ESPINDOLA,EC1106
11.0,EC11,LOJA,345.0,SOZORANGA,EC1112
11.0,EC11,LOJA,730.0,PINDAL,EC1114
11.0,EC11,LOJA,740.0,QUILANGA,EC1115
11.0,EC11,LOJA,815.0,CHAGUARPAMBA,EC1105
12.0,EC12,LOS RIOS,515.0,BABAHOYO,EC1201
