PROVINCIA_CODIGO,NOMBRE_PROVINCIA,CANTON_CODIGO,CANTON_NOMBRE,PARROQUIA_CODIGO_OLD,PARROQUIA_CODIGO,PARROQUIA_NOMBRE
P01,AZUAY,C0115,CAMILO PONCE ENRIQUEZ,6875.0,Q011550,CAMILO PONCE ENRIQUEZ
P01,AZUAY,C0111,CHORDELEG,6435.0,Q011150,CHORDELEG
P01,AZUAY,C0111,CHORDELEG,1535.0,Q011152,LA UNION
P01,AZUAY,C0111,CHORDELEG,1585.0,Q011153,LUIS GALARZA ORELLANA
P01,AZUAY,C0111,CHORDELEG,2950.0,Q011151,PRINCIPAL
P01,AZUAY,C0111,CHORDELEG,1575.0,Q011154,SAN MARTIN DE PUZHIO
P01,AZUAY,C0101,CUENCA,285.0,Q010151,BANOS
P01,AZUAY,C0101,CUENCA,5075.0,Q010101,BELLAVISTA
P01,AZUAY,C0101,CUENCA,5080.0,Q010102,CANARIBAMBA
P01,AZUAY,C0101,CUENCA,845.0,Q010153,CHAUCHA
P01,AZUAY,C0101,CUENCA,860.0,Q010154,CHECA
P01,AZUAY,C0101,CUENCA,905.0,Q010155,CHIQUINTAD
P01,AZUAY,C0101,CUENCA,730.0,Q010152,CUMBE
P01,AZUAY,C0101,CUENCA,5135.0,Q010103,EL BATAN
P01,AZUAY,C0101,CUENCA,5905.0,Q010104,EL SAGRARIO
P01,AZUAY,C0101,CUENCA,5330.0,Q010105,EL VECINO
P01,AZUAY,C0101,CUENCA,5875.0,Q010106,GIL RAMIREZ DAVALOS
P01,AZUAY,C0101,CUENCA,6865.0,Q010115,HERMANO MIGUEL
P01,AZUAY,C0101,CUENCA,5450.0,Q010107,HUAYNACAPAC
P01,AZUAY,C0101,CUENCA,2255.0,Q010156,LLACAO
P01,AZUAY,C0101,CUENCA,5140.0,Q010108,MACHANGARA
P01,AZUAY,C0101,CUENCA,2430.0,Q010157,MOLLETURO
P01,AZUAY,C0101,CUENCA,5290.0,Q010109,MONAY
P01,AZUAY,C0101,CUENCA,2570.0,Q010158,NULTI
P01,AZUAY,C0101,CUENCA,2595.0,Q010159,OCTAVIO CORDERO PALACIOS
P01,AZUAY,C0101,CUENCA,2680.0,Q010160,PACCHA
P01,AZUAY,C0101,CUENCA,3105.0,Q010161,QUINGEO
P01,AZUAY,C0101,CUENCA,3165.0,Q010162,RICAURTE
P01,AZUAY,C0101,CUENCA,5930.0,Q010110,SAN BLAS
P01,AZUAY,C0101,CUENCA,3460.0,Q010163,SAN JOAQUIN
P01,AZUAY,C0101,CUENCA,6010.0,Q010111,SAN SEBASTIAN
P01,AZUAY,C0101,CUENCA,3685.0,Q010164,SANTA ANA
P01,AZUAY,C0101,CUENCA,3795.0,Q010165,SAYAUSI
P01,AZUAY,C0101,CUENCA,3850.0,Q010166,SIDCAY
P01,AZUAY,C0101,CUENCA,3870.0,Q010167,SININCAY
P01,AZUAY,C0101,CUENCA,6090.0,Q010112,SUCRE
P01,AZUAY,C0101,CUENCA,3980.0,Q010168,TARQUI
P01,AZUAY,C0101,CUENCA,5360.0,Q010113,TOTORACOCHA 
P01,AZUAY,C0101,CUENCA,4095.0,Q010169,TURI
P01,AZUAY,C0101,CUENCA,4200.0,Q010170,VALLE
P01,AZUAY,C0101,CUENCA,4225.0,Q010171,VICTORIA DEL PORTETE
P01,AZUAY,C0101,CUENCA,5370.0,Q010114,YANUNCAY
P01,AZUAY,C0112,EL PAN,6485.0,Q011250,EL PAN
P01,AZUAY,C0112,EL PAN,1650.0,Q011253,SAN VICENTE
P01,AZUAY,C0102,GIRON,5395.0,Q010250,GIRON
P01,AZUAY,C0102,GIRON,175.0,Q010251,LA ASUNCION
P01,AZUAY,C0102,GIRON,885.0,Q010252,SAN GERARDO
P01,AZUAY,C0114,GUACHAPALA,6615.0,Q011450,GUACHAPALA
P01,AZUAY,C0103,GUALACEO,1005.0,Q010352,DANIEL CORDOVA TORAL
P01,AZUAY,C0103,GUALACEO,5420.0,Q010350,GUALACEO
P01,AZUAY,C0103,GUALACEO,1805.0,Q010353,JADAN
P01,AZUAY,C0103,GUALACEO,1760.0,Q010359,LUIS CORDERO VEGA
P01,AZUAY,C0103,GUALACEO,2385.0,Q010354,MARIANO MORENO
P01,AZUAY,C0103,GUALACEO,3160.0,Q010356,REMIGIO CRESPO TORAL
P01,AZUAY,C0103,GUALACEO,3505.0,Q010357,SAN JUAN
P01,AZUAY,C0103,GUALACEO,3780.0,Q010360,SIMON BOLIVAR
P01,AZUAY,C0103,GUALACEO,4340.0,Q010358,ZHIDMAD
P01,AZUAY,C0104,NABON,575.0,Q010451,COCHAPATA
P01,AZUAY,C0104,NABON,1175.0,Q010452,EL PROGRESO
P01,AZUAY,C0104,NABON,2550.0,Q010453,LAS NIEVES
P01,AZUAY,C0104,NABON,6595.0,Q010450,NABON
P01,AZUAY,C0110,ONA,6360.0,Q011050,SAN FELIPE DE ONA
P01,AZUAY,C0110,ONA,1540.0,Q011051,SUSUDEL
P01,AZUAY,C0105,PAUTE,395.0,Q010552,BULAN
P01,AZUAY,C0105,PAUTE,870.0,Q010553,CHICAN
P01,AZUAY,C0105,PAUTE,890.0,Q010562,DUG DUG
P01,AZUAY,C0105,PAUTE,4565.0,Q010554,EL CABO
P01,AZUAY,C0105,PAUTE,1455.0,Q010556,GUARAINAG
P01,AZUAY,C0105,PAUTE,5775.0,Q010550,PAUTE
P01,AZUAY,C0105,PAUTE,3375.0,Q010559,SAN CRISTOBAL
P01,AZUAY,C0105,PAUTE,4050.0,Q010561,TOMEBAMBA
P01,AZUAY,C0106,PUCARA,5690.0,Q010650,PUCARA
P01,AZUAY,C0106,PUCARA,1690.0,Q010652,SAN RAFAEL DE SHARUG
P01,AZUAY,C0107,SAN FERNANDO,4560.0,Q010751,CHUMBLIN
P01,AZUAY,C0107,SAN FERNANDO,6565.0,Q010750,SAN FERNANDO
P01,AZUAY,C0108,SANTA ISABEL,15.0,Q010851,ABDON CALDERON
P01,AZUAY,C0108,SANTA ISABEL,1130.0,Q010852,EL CARMEN DE PIJILI
P01,AZUAY,C0108,SANTA ISABEL,4610.0,Q010854,SAN SALVADOR DE CANARIBAMBA
