DIGNIDAD_CODIGO,DIGNIDAD_NOMBRE,CANDIDATO_CODIGO,CANDIDATO_NOMBRE,CANDIDATO_EDAD,ANIO,DIGNIDAD_NOMBRE_ESTANDAR,DIGNIDAD_CODIGO_ESTANDAR
4,ALCALDES,4147960000002.0,ANTUNI CATANI RAFAEL DOMINGO,41,2002,ALCALDIA,4
4,ALCALDES,4015560000002.0,CEDILLO GUAMAN ELMER JORGE,41,2002,ALCALDIA,4
4,ALCALDES,4015560000008.0,SANCHEZ DELGADO ALCIDES GILBERTO,43,2002,ALCALDIA,4
4,ALCALDES,4015560000003.0,MALDONADO ESPARZA JORGE EDUARDO,44,2002,ALCALDIA,4
4,ALCALDES,4015560000007.0,BERREZUETA PESANTEZ LUIS MARCO,45,2002,ALCALDIA,4
4,ALCALDES,4015560000006.0,BERMEO MURILLO VIDAL HERIBERTO,46,2002,ALCALDIA,4
4,ALCALDES,4015560000005.0,TELCAN ESTRADA RUPERTO JOSE,51,2002,ALCALDIA,4
4,ALCALDES,4147960000001.0,SALINAS TANDAZO FRANCISCO RENE,52,2002,ALCALDIA,4
4,ALCALDES,4015560000001.0,ARMIJOS LOYOLA SANTOS SERGIO,64,2002,ALCALDIA,4
4,ALCALDES,4015560000004.0,SANCHEZ NAREA PATRICIO ROLANDO,34,2002,ALCALDIA,4
4,ALCALDES,4147960000003.0,GONZALEZ VERDUGO VICTOR LEONCIO,42,2002,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012600000001.0,CORDERO CORDERO JORGE ALEJANDRO,50,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012600000002.0,GRANDA LOPEZ VICTOR PAUL,36,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012600000003.0,CABRERA PALACIOS HUGO MARCELO,58,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012600000004.0,CARDENAS URGILES MARIA AUGUSTA,35,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012650000001.0,RIOS RODRIGUEZ LUIS EDISON,40,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012650000002.0,TAPIA JARA MARCO FABIAN,30,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012650000003.0,VAZQUEZ WEBSTER RODRIGO MAURICIO,47,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012650000004.0,LUCERO LUZURIAGA LINA DOLORES,38,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012700000001.0,ARIAS GUARICELA MANUEL ELOY,60,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012700000002.0,MOROCHO ILLESCAS EDGAR NESTORIO,46,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012700000003.0,LOJA FAUSTO,49,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012700000004.0,GUZMAN OCHOA LILIANA MAURA,32,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012700000005.0,RAMON QUEZADA JOSE VIRGILIO,50,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012700000006.0,DUQUE ILLESCAS JORGE BENJAMIN,44,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012750000001.0,TRELLES MENDEZ HELIOTH ONOFRE,46,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012750000002.0,FERENO ROCANO MIGUEL ANGEL,43,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012750000003.0,TRELLES MENDEZ NOE NAUM,56,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012750000004.0,VIMOS MINCHALA GUILLERMO ENRIQUE,54,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012800000001.0,QUILAMBAQUI SAGBAY HERNAN DARIO,35,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012800000002.0,MOSCOSO GRANDA ROMULO EDMUNDO,39,2009,ALCALDIA,4
4,ALCALDE MUNICIPAL,4012800000003.0,GRANDA GRANDA HONORATO MARCELINO,46,2009,ALCALDIA,4
