DIGNIDAD_CODIGO,DIGNIDAD_NOMBRE,CANDIDATO_CODIGO,CANDIDATO_NOMBRE,CANDIDATO_EDAD,ANIO,DIGNIDAD_NOMBRE_ESTANDAR,DIGNIDAD_CODIGO_ESTANDAR
2,PREFECTO Y VICEPREFECTO,2010000000001.0,DIAZ VILLAMARIN LUIS ORLANDO,50,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2010000000002.0,CARRASCO CARPIO PAUL ERNESTO,38,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2010000000003.0,BERNAL BERNAL ESTEBAN REMIGIO,36,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2010000000004.0,CEDILLO GUERRERO RICARDO SEGUNDO,64,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2020000000001.0,TAPIA LOMBEYDA LUIS FERNANDO,60,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2020000000002.0,GUERRERO SUAREZ OSWALDO CRISTOBAL,65,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2020000000003.0,CEVALLOS MOREJON NERVO MIGUEL,42,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2020000000004.0,CAMACHO DAVILA JUAN CARLOS,48,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2020000000005.0,CHAVES DE MORA CARLOS MARCELO,46,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2030000000001.0,CARDENAS CALLE RENE EFRAIN,42,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2030000000002.0,CALLE PINOS JAIME LEONARDO,56,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2030000000003.0,ORMAZA ANDRADE DIEGO ROMEO ANTONIO,49,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2030000000004.0,QUINTEROS RIVERA IGNACIO RAUL GILBERTO,55,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2030000000005.0,SAQUICELA ESPINOZA JAVIER VIRGILIO,36,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2030000000006.0,CORREA PADRON ROMMEL SANTIAGO,34,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2040000000001.0,LOPEZ GARCIA MARIA NIEVES,37,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2040000000002.0,QUELAL PABON MARCO VINICIO,50,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2040000000003.0,YANDUN POZO CASTULO RENE,62,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2040000000004.0,RODRIGUEZ EDGAR IVAN,54,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2040000000005.0,VIZCAINO ANDRADE LUIS FELIPE,44,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2050000000001.0,CEPEDA ESTUPINAN CRISTOBAL ALEJANDRO,58,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2050000000002.0,HERRERA GALARRAGA EDGAR WILFRIDO,40,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2050000000003.0,UMAGINGA GUAMAN CESAR,39,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2050000000004.0,VELA CAIZAPANTA ANGEL RAMIRO,51,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2060000000001.0,PAZMINO NUNEZ HERNAN OSWALDO,53,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2060000000002.0,BARRENO NORIEGA JORGE WASHINGTON,50,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2060000000003.0,CURICAMA GUAMAN MARIANO,52,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2060000000004.0,BARRENO GUIJARRO ANGEL GERARDO,47,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2060000000005.0,BURBANO ARAUS LUIS ALFONSO,63,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2070000000001.0,MORAN RAMIREZ MARIO MANUEL,36,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2070000000002.0,CASTRO HIDALGO ALEJANDRO GUILLERMO,61,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2070000000003.0,NOBLECILLA QUINTANA LISLEY DOLORES,40,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2070000000004.0,SANCHEZ REYES MONTGOMERY,58,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2080000000001.0,VACA QUINONEZ SONIA MARIA,53,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2080000000002.0,RAMIREZ HUILA WAGNER NOLASCO,39,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2080000000003.0,SOSA ROBINZON LUCIA DE LOURDES,52,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2080000000004.0,BARCIA MOLINA CARLOS SIMON,45,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2090000000001.0,JAIRALA VALLAZZA JIMMY,51,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2090000000002.0,NUQUEZ CORREA JOSE HUMBERTO,53,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2090000000003.0,VANEGAS Y CORTAZAR HECTOR GABRIEL,44,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2090000000004.0,BLUM SAMANIEGO MARIO ROBERTO,54,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2090000000005.0,PEREZ LOOR LUIS ENRIQUE,50,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2090000000006.0,SALEM MENDOZA MAURICIO ELIAS,67,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2090000000007.0,CORREA DELGADO PIERINA SARA MERCEDES,47,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2090000000008.0,BENAVIDES DAVILA HUMBERTO LUIS,57,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2090000000009.0,MUZZIO ARGUELLO GIOVANNI FABRIZIO,41,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2100000000001.0,QUINTANA PASPUEL PEDRO MANUEL,51,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2100000000002.0,VINUEZA BAQUERO WILSON EDUARDO,66,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2100000000003.0,ROLDAN ROBLES FRANKLIN VINICIO,44,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2100000000004.0,LARREA ANDRADE MAURICIO ERNESTO,54,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2100000000005.0,GARCIA POZO DIEGO OSWALDO,44,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2110000000001.0,ROLDAN ROGEL IVAN FRANCISCO,47,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2110000000002.0,BUSTAMANTE MONTEROS RUBEN ALEJANDRO,46,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2110000000003.0,MAZA BOLIVAR HERNAN,48,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2110000000004.0,AUQUILLA ORTEGA RAUL VICENTE,56,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2110000000005.0,VIVAR BERMEO RODRIGO EDUARDO,49,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2120000000001.0,TERAN HIDALGO ROLANDO JAVIER,33,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2120000000002.0,MENDOZA PALMA JOFFRE PATRICIO,45,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2120000000003.0,LUQUE MORAN ANDRES SANTIAGO,73,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2120000000004.0,TOUMA BACILIO MARIO ALBERTO,50,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2120000000005.0,GOMEZ VERDUGA MARIA ELENA,34,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2120000000006.0,TROYA FUERTES MARCO STALIN,40,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2130000000001.0,CELI SANTOS GUILLERMO ALEJANDRO,33,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2130000000002.0,LOOR AVEIGA EDDY FERDINAND,42,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2130000000003.0,VELEZ FIGUEROA SONIA LEONOR DOLORES,49,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2130000000004.0,ZAMBRANO ARTEAGA JOSE RICARDO,34,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2130000000005.0,ANDRADE MEDINA JORGE GUALBERTO,57,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2130000000006.0,ZAMBRANO SEGOVIA MARIANO NICANOR,59,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2140000000001.0,ALARCON MARTINEZ PABLO RUPERTO,50,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2140000000002.0,CHUMPI JIMPIKIT FELIPE MARCELINO,40,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2140000000003.0,PUENTE PENARANDA FRANKLIN ELEUCADIO,38,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2140000000004.0,MEJIA REINOSO JAIME EDMUNDO,48,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2150000000001.0,CHACON PADILLA SERGIO ENRIQUE,38,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2150000000002.0,CHAVEZ VARGAS EDISON GUSTAVO,54,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2150000000003.0,BORBUA ESPINEL ANIBAL RENAN,47,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2150000000004.0,SANMIGUEL PALACIOS GINA ZITA,51,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2160000000001.0,FREIRE MARTINEZ CARLOS BOLIVAR,42,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2160000000002.0,NAVEDA SUAREZ HENRY ROBERT,46,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2160000000003.0,MASSON FIALLOS TANIA PATRICIA,30,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2160000000004.0,GUEVARA BLASCHKE JAIME PATRICIO,44,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2160000000005.0,GUEVARA CRUZ MILTON BAYARDO,50,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2170000000001.0,CARRION PEREZ ARTURO ALEJANDRO,60,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2170000000002.0,AGUILAR OLMEDO ROBERTO FERNANDO,53,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2170000000003.0,YUMISEBA ASQUEL WALTER RAUL,53,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2170000000004.0,GUZMAN ESPINOSA DIEGO ALONSO RAMIRO,52,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2170000000005.0,CALLE OCHOA LIDER TEOBALDO,46,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2170000000006.0,BAROJA NARVAEZ MILTON GUSTAVO,55,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2170000000007.0,DAVALOS ARTEAGA DIEGO MARCELO ANTONIO,63,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2170000000008.0,ACOSTA ESPINOSA VERONICA DE LA DOLOROSA,57,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2170000000009.0,PROCEL PERALTA CARLOS EDUARDO,59,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2170000000010.0,JURADO CASTRO IVAN SANTIAGO,53,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2180000000001.0,QUISPE LOPEZ JOSE LUIS,43,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2180000000002.0,BRAVO VALLE LUIS DAVID,22,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2180000000003.0,RODRIGUEZ BARROSO MANUEL EDUARDO,53,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2180000000004.0,NARANJO LALAMA LUIS FERNANDO,60,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2190000000001.0,QUISHPE LOZANO SALVADOR,38,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2190000000002.0,PAQUI GONZALEZ JOSE FRANCISCO,42,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2190000000003.0,DELGADO TELLO FRANKLIN NAPOLEON,56,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2210000000001.0,GREFA CERDA RENE ORLANDO,41,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2210000000002.0,ABAD JARAMILLO MAXIMO,53,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2210000000003.0,MURILLO ZAMBRANO REMIGIO ALBERTO,55,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2210000000004.0,MOROCHO VELANA NANCY BEATRIZ,41,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2210000000005.0,LOZADA CORTES DARWIN LENIN,55,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2220000000001.0,GARCIA JARAMILLO DARWIN UVALDO,44,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2220000000002.0,CAICEDO COLON HONORATO,68,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2220000000003.0,GREFA UQUINA VALERIO ALMOYA,56,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2220000000004.0,ZAMBRANO CHACHA ALBERTO ALEXANDER,45,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2220000000005.0,LLORI ABARCA ESPERANZA GUADALUPE,46,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2220000000006.0,ACARO ALVAREZ ANDRES ABELINO,44,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2220000000007.0,MONAR VARGAS ELISA MARGARITA,39,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2220000000008.0,CAMPOVERDE CAMPOVERDE FREDY LEONARDO,42,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2230000000001.0,MURILLO RODRIGUEZ NANCY GEOCONDA,34,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2230000000002.0,FARIAS RIOS JOSE FRANKLIN,44,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2230000000003.0,BRITO CHICO GIL ANIBAL,60,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2230000000004.0,TERAN SILVA JAKSON STALYN,31,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2230000000005.0,VILLACIS ESPIN VICTOR CLEVER,48,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2230000000006.0,BENITEZ CALVA EDGAR GEOVANNY,41,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2230000000007.0,NAVAS DUQUE OSCAR FABRICIO,45,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2230000000008.0,NUNEZ GARCIA JOHANA YADIRA,28,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2230000000009.0,YEPEZ PALMA LUDWIN GONZALO,47,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2240000000001.0,LAINEZ VERA NORBERTO WILLIAM,43,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2240000000002.0,LYLE LEON MYRIAM LEONOR,53,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2240000000003.0,GARNICA ENDERICA NAPOLEON,66,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2240000000004.0,BORBOR RODRIGUEZ SANTO ABEL,52,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2240000000005.0,AJOY BONILLA WINSTON,69,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2240000000006.0,MOLINA LOOR ANGEL AMABLE,55,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2240000000007.0,CISNEROS GRANIZO PATRICIO BENJAMIN,46,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2240000000008.0,ORRALA RODAS LUIS JACINTO,38,2009,PREFECTURA,2
2,PREFECTO Y VICEPREFECTO,2240000000009.0,TRIVINO CISNEROS ANA MIREYA,50,2009,PREFECTURA,2
2,PREFECTO PROVINCIAL,2010000000001.0,AGUIRRE CORDERO ESTUARDO FERNANDO,35,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2010000000002.0,MUNOZ CHAVEZ FRANCISCO JAVIER,58,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2010000000003.0,MUNOZ SERRANO WILSON BOLIVAR,47,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2010000000004.0,PARRA DELGADO HOLGUER EFRAIN,51,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2010000000005.0,CARRASCO CARPIO PAUL,33,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2010000000006.0,PEREZ GUARTANBEL CARLOS RANULFO,35,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2010000000007.0,GRANDA LOPEZ PAUL,32,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2020000000001.0,CAMACHO LOMBEIDA PATRICIO MODESTO,50,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2020000000002.0,CHAVES DE MORA CARLOS MARCELO,42,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2020000000003.0,GARCIA GONZALEZ JOSE VICENTE,58,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2020000000004.0,AUCATOMA GUILLEN WALTER LENIN,60,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2020000000005.0,ESPINOZA CHIMBO GUSTAVO EFRAIN,60,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2020000000006.0,BONILLA BONILLA CARLOS VINICIO,56,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2020000000007.0,TORRES ESPINOSA WASHINGTON RAMSSES,37,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2030000000001.0,ROMO CARPIO WILSON FERNANDO,43,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2030000000002.0,CASTANIER CRESPO IVAN MARCELO,71,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2030000000003.0,CARDENAS CALLE RENE EFRAIN,37,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2030000000004.0,GONZALEZ VERDUGO HORACIO,50,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2030000000005.0,CRESPO VERDUGO HERNAN,50,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2030000000006.0,ORMAZA ANDRADE DIEGO ROMEO ANTONIO,45,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2030000000007.0,CORONEL PESANTEZ HERNAN BOLIVAR,55,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2040000000001.0,RODRIGUEZ EDGAR IVAN,50,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2040000000002.0,MADERA NELSON FABIAN,56,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2040000000003.0,BENAVIDES BASTIDAS MIGUEL RENE DE JESUS,58,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2040000000004.0,YANDUN POZO CASTULO RENE,57,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2040000000005.0,YANDUN VASQUEZ SEGUNDO MIGUEL,56,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2040000000006.0,MOSCOSO ANDRADE EDGAR GERMAN,59,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2050000000001.0,ORBEA RUBIO EDGAR RODRIGO,56,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2050000000002.0,TORRES BARTELOTTI FLAVIO EDMUNDO,61,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2050000000003.0,PLAZA SOMMERS JOAQUIN LEONIDAS,52,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2050000000004.0,BURBANO MORENO BYRON HERNAN,48,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2050000000005.0,VACA ROJAS MIGUEL ARMANDO,53,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2050000000006.0,UMAGINGA GUAMAN CESAR,35,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2060000000001.0,FIERRO OVIEDO FRANCISCO,48,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2060000000002.0,CORDOVA GAIBOR MARIO ADOLFO,60,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2060000000003.0,CHAVEZ MOSQUERA AIDA ESMERALDA,64,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2060000000004.0,RUALES VALLEJO EDISON GONZALO,69,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2060000000005.0,MALDONADO RIVERA ALEJANDRO NORBERTO,57,2004,PREFECTURA,2
2,PREFECTO PROVINCIAL,2060000000006.0,MARTINEZ LUNA ANGEL ABSALON,61,2004,PREFECTURA,2
