,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023,2023s
16 A 18 AÑOS,,,,,,,,1.0,,,,,
DE 16 A MENOS DE 18 AÑOS,,,,,1.0,1.0,1.0,,,,,,
DE 16 a 18 AÑOS,,,,,,,,,1.0,,,,
DE 18 A MENOS DE 65 AÑOS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
DE 65 AÑOS Y MAS,,,,,,,,,1.0,,,,
DE 65 AÑOS Y MÁS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
MAS DE 18 A MENOS DE 65 AÑOS,,,,,,,,,1.0,,,,
MAYOR O IGUAL  A 65 AÑOS,,,,,,,,,,1.0,1.0,1.0,1.0
MAYOR O IGUAL A 18 Y MENOR A 65 AÑOS,,,,,,,,,,1.0,1.0,1.0,1.0
MENOR A 18 AÑOS,,,,,,,,,,1.0,1.0,1.0,1.0
MÁS DE 18 A 65 AÑOS,,,,,,,,1.0,,,,,
MÁS DE 65 AÑOS,,,,,,,,1.0,,,,,
