ANIO,SEXO,present
2018,F,1.0
2018,M,1.0
2002_v_1,MUJERES,1.0
2002_v_1,HOMBRES,1.0
2002_v_2,HOMBRES,1.0
2002_v_2,MUJERES,1.0
2006_v_1,HOMBRES,1.0
2006_v_1,MUJERES,1.0
2006_v_2,MUJERES,1.0
2006_v_2,HOMBRES,1.0
2007_v1,HOMBRES,1.0
2007_v1,MUJERES,1.0
2009_v_1,HOMBRES,1.0
2009_v_1,MUJERES,1.0
2013_v_1,HOMBRES,1.0
2013_v_1,MUJERES,1.0
2017_v_1,HOMBRES,1.0
2017_v_1,MUJERES,1.0
2017_v_2,F,1.0
2017_v_2,M,1.0
2021_v_1,F,1.0
2021_v_1,M,1.0
2021_v_2,F,1.0
2021_v_2,M,1.0
2023_v_1,FEMENINO,1.0
2023_v_1,MASCULINO,1.0
2023_v_2,FEMENINO,1.0
2023_v_2,MASCULINO,1.0
2004_v_1,HOMBRES,1.0
2004_v_1,MUJERES,1.0
2009_v_1,HOMBRES,1.0
2009_v_1,MUJERES,1.0
2014_v1,HOMBRES,1.0
2014_v1,MUJERES,1.0
2019_v_1,F,1.0
2019_v_1,M,1.0
2023s_v_1,FEMENINO,1.0
2023s_v_1,MASCULINO,1.0
