,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
24 DE MAYO,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
A.BAQUERIZO MORENO,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
AGUARICO,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
ALAUSI,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ALEMANIA,,,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
AMBATO,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
ANTONIO ANTE,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ARAJUNO,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
ARCHIDONA,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
ARENILLAS,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
ARGENTINA,,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
ATACAMES,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
ATAHUALPA,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
AUSTRALIA,,,25.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
AUSTRIA,,,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
AZOGUES,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
BABA,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
BABAHOYO,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
BALAO,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
BALSAS,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
BALZAR,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
BANOS,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
BELARUS,,,,,,,,26.0,26.0,26.0,,
BELGICA,,,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
BIBLIAN,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
BOLIVAR,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
BOLIVIA,,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
BRASIL,,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
BUENA FE,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
C. J. AROSEMENA TOLA,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
C.J.AROSEMENA TOLA,15.0,15.0,,,,,,,,,,
CALUMA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CALVAS,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
CAMILO PONCE ENRIQUEZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CANADA,,,25.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
CANAR,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CASCALES,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
CATAMAYO,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
CAYAMBE,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
CELICA,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
CENTINELA DEL CONDOR,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
CEVALLOS,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
CHAGUARPAMBA,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
CHAMBO,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
CHILE,,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
CHILLA,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
CHILLANES,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CHIMBO,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CHINA,,,25.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
CHINCHIPE,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
CHONE,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
CHORDELEG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHUNCHI,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
COLIMES,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
COLOMBIA,,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
COLTA,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
COREA (SUR) REPUBLICA DE,,,25.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
COSTA RICA,,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
COTACACHI,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CRNL MARCELINO MARIDUENAS,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0
CRNL. MARCELINO MARIDUENAS,,,,,,,,9.0,,,,
CUBA,,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
CUENCA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CUMANDA,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
CUYABENO,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
DAULE,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
DELEG,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
DURAN,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
ECHEANDIA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
EGIPTO,,,25.0,,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
EL CARMEN,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
EL CHACO,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
EL EMPALME,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
EL GUABO,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
EL PAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EL PANGUI,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
EL SALVADOR,,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
EL TAMBO,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
EL TRIUNFO,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
ELOY ALFARO,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
ESMERALDAS,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
ESPANA,,,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
ESPEJO,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ESPINDOLA,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
ESTADOS UNIDOS DE AMERICA,,,25.0,25.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
FCO.DE ORELLANA,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
FEDERACION DE RUSIA,,,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
FLAVIO ALFARO,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
FRANCIA,,,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
GIRON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GONZALO PIZARRO,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
GONZANAMA,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
GRAL. A. ELIZALDE,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
GUACHAPALA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GUALACEO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GUALAQUIZA,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
GUAMOTE,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GUANO,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GUARANDA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GUATEMALA,,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
GUAYAQUIL,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
HONDURAS,,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
HUAMBOYA,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
HUAQUILLAS,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
HUNGRIA,,,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
IBARRA,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
INDIA,,,25.0,,26.0,26.0,26.0,26.0,26.0,26.0,,
INDONESIA,,,25.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
IRAN,,,,,,26.0,26.0,26.0,26.0,,,
ISABELA,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
ISIDRO AYORA,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
ISRAEL,,,25.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
ITALIA,,,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
JAMA,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
JAPON,,,25.0,,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
JARAMIJO,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
JIPIJAPA,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
JOYA DE LOS SACHAS,,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
JOYA DE LOS SAGCHAS,22.0,22.0,,,,,,,,,,
JUNIN,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
LA CONCORDIA,,,,,8.0,8.0,23.0,23.0,23.0,23.0,23.0,23.0
LA LIBERTAD,9.0,9.0,9.0,9.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
LA MANA,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LA TRONCAL,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
