,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
24 DE MAYO,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0
A.BAQUERIZO MORENO,835.0,835.0,835.0,835.0,835.0,835.0,835.0,835.0,835.0,835.0,835.0,835.0
AGUARICO,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0
ALAUSI,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
ALEMANIA,,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
AMBATO,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
ANTONIO ANTE,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
ARAJUNO,881.0,881.0,881.0,881.0,881.0,881.0,881.0,881.0,881.0,881.0,881.0,881.0
ARCHIDONA,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
ARENILLAS,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0
ARGENTINA,,,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
ATACAMES,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0,785.0
ATAHUALPA,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0,705.0
AUSTRALIA,,,31.0,,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
AUSTRIA,,,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
AZOGUES,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0
BABA,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0
BABAHOYO,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0
BALAO,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
BALSAS,875.0,875.0,875.0,875.0,875.0,875.0,875.0,875.0,875.0,875.0,875.0,875.0
BALZAR,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0,415.0
BANOS,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
BELARUS,,,,,,,,491.0,491.0,491.0,,
BELGICA,,,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
BIBLIAN,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0
BOLIVAR,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0
BOLIVIA,,,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
BRASIL,,,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
BUENA FE,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0
C. J. AROSEMENA TOLA,,,621.0,621.0,621.0,621.0,621.0,621.0,621.0,621.0,621.0,621.0
C.J.AROSEMENA TOLA,621.0,621.0,,,,,,,,,,
CALUMA,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0,760.0
CALVAS,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
CAMILO PONCE ENRIQUEZ,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0,556.0
CANADA,,,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
CANAR,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
CASCALES,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0,745.0
CATAMAYO,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
CAYAMBE,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
CELICA,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0
CENTINELA DEL CONDOR,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0
CEVALLOS,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0
