OP_CODIGO,OP_AMBITO,OP_NOMBRE,OP_SIGLAS,ANIO
1.0,NACIONAL,PARTIDO UNION NACIONAL UNO,UN - UNO,2002
2.0,NACIONAL,PARTIDO LIBERAL RADICAL ECUATORIANO,PLRE,2002
3.0,NACIONAL,PARTIDO SOCIEDAD PATRIOTICA 21 DE ENERO,PSP,2002
4.0,NACIONAL,PARTIDO CONCENTRACION DE FUERZAS POPULARES,CFP,2002
5.0,NACIONAL,PARTIDO DEMOCRACIA POPULAR - UNION DEMOCRATA CRISTIANA,DP-UDC,2002
6.0,NACIONAL,PARTIDO SOCIAL CRISTIANO,PSC,2002
7.0,NACIONAL,PARTIDO RENOVADOR INSTITUCIONAL ACCION NACIONAL,PRIAN,2002
10.0,NACIONAL,PARTIDO ROLDOSISTA ECUATORIANO,PRE,2002
11.0,NACIONAL,PARTIDO LIBERTAD,PL,2002
12.0,NACIONAL,PARTIDO IZQUIERDA DEMOCRATICA,ID,2002
14.0,NACIONAL,PARTIDO ALFARISMO NACIONAL,AN,2002
15.0,NACIONAL,PARTIDO MOVIMIENTO POPULAR DEMOCRATICO,MPD,2002
17.0,NACIONAL,PARTIDO SOCIALISTA - FRENTE AMPLIO,PS-FA,2002
18.0,NACIONAL,MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK - NUEVO PAIS,MUPP-NP,2002
19.0,NACIONAL,MOVIMIENTO REALIDAD 2000,MR2000,2002
20.0,NACIONAL,MOVIMIENTO RENOVACION DEMOCRATICA,MRD,2002
21.0,NACIONAL,MOVIMIENTO CIUDADANOS NUEVO PAIS,MCNP,2002
22.0,NACIONAL,MOVIMIENTO TRANSFORMACION SOCIAL INDEPENDIENTE,TSI,2002
23.0,NACIONAL,MOVIMIENTO NUEVO AMANECER,MNA,2002
24.0,NACIONAL,MOVIMIENTO PATRIA SOLIDARIA,MPS,2002
25.0,NACIONAL,MOVIMIENTO JUSTICIA,MJ,2002
27.0,NACIONAL,MOVIMIENTO INQUILINOS POR LA PATRIA,MIPP,2002
28.0,NACIONAL,MOVIMIENTO INDEPENDIENTE AMAUTA JATARI,MIAJ,2002
29.0,NACIONAL,MOVIMIENTO INDEPENDIENTE NACIONAL POR LA CONCERTACION SOCIAL,MINCS,2002
30.0,NACIONAL,MOVIMIENTO DE INTEGRACION NACIONAL - MIN,MIN,2002
32.0,NACIONAL,MOVIMIENTO PATRIOTICO SIMON BOLIVAR,MPSM,2002
34.0,NACIONAL,MOVIMIENTO POR LA SEGUNDA INDEPENDENCIA,MSI,2002
35.0,NACIONAL,PPPP,OPP,2002
39.0,NACIONAL,MOVIMIENTO ESPERANZA TRANSFORMACION Y  ACCION,META,2002
40.0,NACIONAL,BINOMIO ROLDOS PADILLA,RP,2002
201.0,ALIANZA,PARTIDO LIBERAL RADICAL ECUATORIANO/MOVIMIENTO ESPERANZA TRANSFORMACION Y ACCION,PLRE/META,2002
202.0,ALIANZA,PARTIDO SOCIEDAD PATRIOTICA 21 DE ENERO/MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK-NUEVO PAIS,PSP/MUPP-NP,2002
10000000041.0,PROVINCIAL,MOVIMIENTO INDEPENDIENTE FUERZA  AZUAYA DE DESARROLLO,MIFAD,2002
10000000201.0,ALIANZA,ALIANZA SOCIAL CRISTIANO / IZQUIERDA DEMOCRATICA,PSC/ID,2002
10000000202.0,ALIANZA,ALIANZA MOVIMIENTO POPULAR DEMOCRATICO / SOCIALISTA - FRENTE AMPLIO,MPD /PS-FA,2002
12600000045.0,CANTONAL,FUERZA ECUATORIANA,FE,2002
12600000048.0,CANTONAL,POR TI CUENCA,PTC,2002
15550000042.0,CANTONAL,MOVIMIENTO INDEPENDIENTE SOLIDARIO CAMPESINO PUCARA,MISCP,2002
15560000043.0,CANTONAL,MOVIMIENTO FRENTE INDEPENDIENTE PROGRESISTA PONCE ENRIQUEZ,MFIPPE,2002
15560000044.0,CANTONAL,MOVIMIENTO Y ACCION DE PUEBLOS ORGANIZADOS,MAPO,2002
15560000047.0,CANTONAL,MOVIMIENTO INDEPENDIENTE DE ACCION PARTICIPATIVA,MIAP,2002
15560000203.0,ALIANZA,ALIANZA,DP-UDC/MAPO,2002
