,2002,2004,2006,2007,2009,2013,2014,2017,2018,2019,2021,2023
5,ABANIN,ABANIN,ABANIN,ABANIN,ABANIN,ABANIN,ABANIN,ABANIN,ABANIN,ABANIN,ABANIN,ABANIN
10,ABDON CALDERON,ABDON CALDERON,ABDON CALDERON,ABDON CALDERON,ABDON CALDERON,ABDON CALDERON,ABDON CALDERON,ABDON CALDERON,ABDON CALDERON,ABDON CALDERON,ABDON CALDERON,ABDON CALDERON
15,ABDON CALDERON/LA,ABDON CALDERON/LA,ABDON CALDERON / LA UNION,ABDON CALDERON / LA UNION,ABDON CALDERON / LA UNION,ABDON CALDERON / LA UNION,ABDON CALDERON / LA UNION,ABDON CALDERON / LA UNION,ABDON CALDERON / LA UNION,ABDON CALDERON / LA UNION,ABDON CALDERON / LA UNION,ABDON CALDERON / LA UNION
20,ACHUPALLAS,ACHUPALLAS,ACHUPALLAS,ACHUPALLAS,ACHUPALLAS,ACHUPALLAS,ACHUPALLAS,ACHUPALLAS,ACHUPALLAS,ACHUPALLAS,ACHUPALLAS,ACHUPALLAS
25,AHUANO,AHUANO,AHUANO,AHUANO,AHUANO,AHUANO,AHUANO,AHUANO,AHUANO,AHUANO,AHUANO,AHUANO
30,ALANGASI,ALANGASI,ALANGASI,ALANGASI,ALANGASI,ALANGASI,ALANGASI,ALANGASI,ALANGASI,ALANGASI,ALANGASI,ALANGASI
35,ALAQUEZ,ALAQUEZ,ALAQUEZ,ALAQUEZ,ALAQUEZ,ALAQUEZ,ALAQUEZ,ALAQUEZ,ALAQUEZ,ALAQUEZ,ALAQUEZ,ALAQUEZ
40,STA. FE DE GALAN,STA. FE DE GALAN,SANTA FE DE GALAN,SANTA FE DE GALAN,SANTA FE DE GALAN,SANTA FE DE GALAN,SANTA FE DE GALAN,SANTA FE DE GALAN,SANTA FE DE GALAN,SANTA FE DE GALAN,SANTA FE DE GALAN,SANTA FE DE GALAN
45,SAN JOSE DE CHAZO,SAN JOSE DE CHAZO,SAN JOSE DE CHAZO,SAN JOSE DEL CHAZO,SAN JOSE DEL CHAZO,SAN JOSE DEL CHAZO,SAN JOSE DEL CHAZO,SAN JOSE DEL CHAZO,SAN JOSE DEL CHAZO,SAN JOSE DEL CHAZO,SAN JOSE DEL CHAZO,SAN JOSE DEL CHAZO
50,ALHAJUELA/BAJO GRA,ALHAJUELA/BAJO GRA,ALHAJUELA /BAJO GRANDE,ALHAJUELA /BAJO GRANDE,ALHAJUELA /BAJO GRANDE,ALHAJUELA /BAJO GRANDE,ALHAJUELA /BAJO GRANDE,ALHAJUELA /BAJO GRANDE,ALHAJUELA /BAJO GRANDE,ALHAJUELA /BAJO GRANDE,ALHAJUELA /BAJO GRANDE,ALHAJUELA /BAJO GRANDE
